PRCTILE,GOOD_ON_DUR,GOOD_OFF_DUR,AVG_ON_DUR,AVG_OFF_DUR,POOR_ON_DUR,POOR_OFF_DUR
0.128,1.619,1.1624,1.2769,1.1734,1.2622,1.261
0.129,1.6274,1.1637,1.279,1.1748,1.2643,1.2631
0.13,1.6358,1.1649,1.2812,1.1761,1.2663,1.2651
0.131,1.6442,1.1662,1.2833,1.1775,1.2684,1.2671
0.132,1.6527,1.1675,1.2855,1.1788,1.2704,1.2692
0.133,1.6611,1.1687,1.2877,1.1802,1.2725,1.2712
0.134,1.6695,1.17,1.2898,1.1815,1.2745,1.2733
0.135,1.6779,1.1713,1.292,1.1829,1.2766,1.2753
0.136,1.6863,1.1726,1.2942,1.1843,1.2786,1.2773
0.137,1.6947,1.1738,1.2963,1.1856,1.2807,1.2794
0.138,1.7032,1.1751,1.2985,1.187,1.2827,1.2814
0.139,1.7116,1.1764,1.3007,1.1883,1.2847,1.2835
0.14,1.72,1.1776,1.3028,1.1897,1.2868,1.2855
0.141,1.7284,1.1789,1.305,1.191,1.2888,1.2875
0.142,1.7368,1.1802,1.3071,1.1924,1.2909,1.2896
0.143,1.7452,1.1814,1.3093,1.1937,1.2929,1.2916
0.144,1.7537,1.1827,1.3115,1.1951,1.295,1.2936
0.145,1.7621,1.184,1.3136,1.1965,1.297,1.2957
0.146,1.7705,1.1852,1.3158,1.1978,1.2991,1.2977
0.147,1.7789,1.1865,1.318,1.1992,1.3011,1.2998
0.148,1.7873,1.1878,1.3201,1.2005,1.3032,1.3018
0.149,1.7957,1.189,1.3223,1.2019,1.3052,1.3038
0.15,1.8042,1.1903,1.3244,1.2032,1.3073,1.3059
0.151,1.8126,1.1916,1.3266,1.2046,1.3093,1.3079
0.152,1.821,1.1928,1.3288,1.2059,1.3114,1.31
0.153,1.8294,1.1941,1.3309,1.2073,1.3134,1.312
0.154,1.8378,1.1954,1.3331,1.2086,1.3155,1.314
0.155,1.8462,1.1967,1.3353,1.21,1.3175,1.3161
0.156,1.8547,1.1979,1.3374,1.2114,1.3196,1.3181
0.157,1.8631,1.1992,1.3396,1.2127,1.3216,1.3202
0.158,1.8715,1.2005,1.3417,1.2141,1.3237,1.3222
0.159,1.8799,1.2017,1.3439,1.2154,1.3257,1.3242
0.16,1.8883,1.203,1.3461,1.2168,1.3278,1.3263
0.161,1.8967,1.2043,1.3482,1.2181,1.3298,1.3283
0.162,1.9052,1.2055,1.3504,1.2195,1.3319,1.3304
0.163,1.9136,1.2068,1.3526,1.2208,1.3339,1.3324
0.164,1.922,1.2081,1.3547,1.2222,1.336,1.3344
0.165,1.9304,1.2093,1.3569,1.2235,1.338,1.3365
0.166,1.9388,1.2106,1.3591,1.2249,1.3401,1.3385
0.167,1.9472,1.2119,1.3612,1.2263,1.3421,1.3405
0.168,1.9557,1.2132,1.3634,1.2276,1.3442,1.3426
0.169,1.9641,1.2144,1.3655,1.229,1.3462,1.3446
0.17,1.9725,1.2157,1.3677,1.2303,1.3483,1.3467
0.171,1.9809,1.217,1.3699,1.2317,1.3503,1.3487
0.172,1.9893,1.2182,1.372,1.233,1.3523,1.3507
0.173,1.9977,1.2195,1.3742,1.2344,1.3544,1.3528
0.174,2.0062,1.2208,1.3764,1.2357,1.3564,1.3548
0.175,2.0146,1.222,1.3785,1.2371,1.3585,1.3569
0.176,2.023,1.2233,1.3807,1.2385,1.3605,1.3589
0.177,2.0314,1.2246,1.3828,1.2398,1.3626,1.3609
0.178,2.0398,1.2258,1.385,1.2412,1.3646,1.363
0.179,2.0482,1.2271,1.3872,1.2425,1.3667,1.365
0.18,2.0567,1.2284,1.3893,1.2439,1.3687,1.3671
0.181,2.0651,1.2296,1.3915,1.2452,1.3708,1.3691
0.182,2.0735,1.2309,1.3937,1.2466,1.3728,1.3711
0.183,2.0819,1.2322,1.3958,1.2479,1.3749,1.3732
0.184,2.0903,1.2334,1.398,1.2493,1.3769,1.3752
0.185,2.0987,1.2347,1.4001,1.2506,1.379,1.3773
0.186,2.1072,1.236,1.4023,1.252,1.381,1.3793
0.187,2.1156,1.2373,1.4045,1.2534,1.3831,1.3813
0.188,2.124,1.2385,1.4066,1.2547,1.3851,1.3834
0.189,2.1324,1.2398,1.4088,1.2561,1.3872,1.3854
0.19,2.1408,1.2411,1.411,1.2574,1.3892,1.3875
0.191,2.1492,1.2423,1.4131,1.2588,1.3913,1.3895
0.192,2.1577,1.2436,1.4153,1.2601,1.3933,1.3915
0.193,2.1661,1.2449,1.4175,1.2615,1.3954,1.3936
0.194,2.1745,1.2461,1.4196,1.2628,1.3974,1.3956
0.195,2.1829,1.2474,1.4218,1.2642,1.3995,1.3976
0.196,2.1913,1.2487,1.4239,1.2655,1.4015,1.3997
0.197,2.1997,1.2499,1.4261,1.2669,1.4036,1.4017
0.198,2.2082,1.2512,1.4283,1.2683,1.4056,1.4038
0.199,2.2166,1.2525,1.4304,1.2696,1.4077,1.4058
0.2,2.225,1.2538,1.4326,1.271,1.4097,1.4078
0.201,2.2334,1.255,1.4348,1.2723,1.4118,1.4099
0.202,2.2418,1.2563,1.4369,1.2737,1.4138,1.4119
0.203,2.2503,1.2576,1.4391,1.275,1.4159,1.414
0.204,2.2587,1.2588,1.4412,1.2764,1.4179,1.416
0.205,2.2671,1.2601,1.4434,1.2777,1.42,1.418
0.206,2.2755,1.2614,1.4456,1.2791,1.422,1.4201
0.207,2.2839,1.2626,1.4477,1.2805,1.424,1.4221
0.208,2.2923,1.2639,1.4499,1.2818,1.4261,1.4242
0.209,2.3007,1.2652,1.4521,1.2832,1.4281,1.4262
0.21,2.3092,1.2664,1.4542,1.2845,1.4302,1.4282
0.211,2.3176,1.2677,1.4564,1.2859,1.4322,1.4303
0.212,2.326,1.269,1.4585,1.2872,1.4343,1.4323
0.213,2.3344,1.2702,1.4607,1.2886,1.4363,1.4344
0.214,2.3428,1.2715,1.4629,1.2899,1.4384,1.4364
0.215,2.3513,1.2728,1.465,1.2913,1.4404,1.4384
0.216,2.3597,1.274,1.4672,1.2926,1.4425,1.4405
0.217,2.3681,1.2753,1.4694,1.294,1.4445,1.4425
0.218,2.3765,1.2766,1.4715,1.2954,1.4466,1.4445
0.219,2.3849,1.2779,1.4737,1.2967,1.4486,1.4466
0.22,2.3933,1.2791,1.4759,1.2981,1.4507,1.4486
0.221,2.4018,1.2804,1.478,1.2994,1.4527,1.4507
0.222,2.4102,1.2817,1.4802,1.3008,1.4548,1.4527
0.223,2.4186,1.2829,1.4823,1.3021,1.4568,1.4547
0.224,2.427,1.2842,1.4845,1.3035,1.4589,1.4568
0.225,2.4354,1.2855,1.4867,1.3048,1.4609,1.4588
0.226,2.4438,1.2867,1.4888,1.3062,1.463,1.4609
0.227,2.4522,1.288,1.491,1.3075,1.465,1.4629
0.228,2.4607,1.2893,1.4932,1.3089,1.4671,1.4649
0.229,2.4691,1.2905,1.4953,1.3103,1.4691,1.467
0.23,2.4775,1.2918,1.4975,1.3116,1.4712,1.469
0.231,2.4859,1.2931,1.4996,1.313,1.4732,1.4711
0.232,2.4943,1.2944,1.504,1.3143,1.4753,1.4731
0.233,2.506,1.2956,1.5087,1.3157,1.4773,1.4751
0.234,2.5244,1.2969,1.5135,1.317,1.4794,1.4772
0.235,2.5427,1.2982,1.5182,1.3184,1.4814,1.4792
0.236,2.5611,1.2994,1.523,1.3197,1.4835,1.4813
0.237,2.5795,1.3007,1.5277,1.3211,1.4855,1.4833
0.238,2.5978,1.302,1.5325,1.3225,1.4876,1.4853
0.239,2.6162,1.3032,1.5372,1.3238,1.4896,1.4874
0.24,2.6345,1.3045,1.542,1.3252,1.4917,1.4894
0.241,2.6529,1.3058,1.5467,1.3265,1.4937,1.4915
0.242,2.6713,1.307,1.5514,1.3279,1.4957,1.4935
0.243,2.6896,1.3083,1.5562,1.3292,1.4978,1.4955
0.244,2.708,1.3096,1.5609,1.3306,1.4998,1.4976
0.245,2.7264,1.3108,1.5657,1.3319,1.5038,1.4996
0.246,2.7447,1.3121,1.5704,1.3333,1.5079,1.5066
0.247,2.7631,1.3134,1.5752,1.3346,1.512,1.5147
0.248,2.7815,1.3146,1.5799,1.336,1.5161,1.5229
0.249,2.7998,1.3159,1.5847,1.3374,1.5202,1.5311
