PRCTILE,GOOD_ON_DUR,GOOD_OFF_DUR,AVG_ON_DUR,AVG_OFF_DUR,POOR_ON_DUR,POOR_OFF_DUR
0.839,45.239,6.9878,7.9524,7.8029,5.4696,27.006
0.84,45.34,7.0013,8.0055,7.8564,5.4832,27.11
0.841,45.441,7.0149,8.0585,7.9098,5.4968,27.214
0.842,45.542,7.0284,8.1116,7.9633,5.5135,27.318
0.843,45.643,7.0419,8.1647,8.0167,5.5311,27.422
0.844,45.744,7.0555,8.2178,8.0702,5.5487,27.531
0.845,45.845,7.069,8.2709,8.1236,5.5663,27.656
0.846,45.946,7.0825,8.324,8.1771,5.5838,27.781
0.847,46.047,7.0961,8.3771,8.2305,5.6014,27.906
0.848,46.148,7.1096,8.4302,8.284,5.619,28.03
0.849,46.249,7.1231,8.4833,8.3375,5.6366,28.155
0.85,46.35,7.1367,8.5444,8.3909,5.6542,28.28
0.851,46.451,7.1502,8.6093,8.4444,5.6718,28.405
0.852,46.604,7.1637,8.6742,8.4978,5.6893,28.53
0.853,46.806,7.1773,8.7391,8.5332,5.7069,28.654
0.854,47.008,7.1908,8.804,8.5678,5.7245,28.779
0.855,47.21,7.2043,8.8689,8.6024,5.7421,28.904
0.856,47.412,7.2179,8.9338,8.6369,5.7597,29.036
0.857,47.785,7.2314,8.9987,8.6715,5.7773,29.192
0.858,48.29,7.2449,9.0636,8.7061,5.7948,29.348
0.859,48.795,7.2585,9.1284,8.7407,5.8124,29.504
0.86,49.3,7.272,9.1933,8.7753,5.83,29.66
0.861,49.805,7.2855,9.2582,8.8099,5.8476,29.816
0.862,50.186,7.2991,9.3231,8.8445,5.8652,29.972
0.863,50.489,7.3126,9.388,8.8791,5.8827,30.128
0.864,50.792,7.3261,9.4529,8.9136,5.9003,30.284
0.865,51.095,7.3397,9.5145,8.9482,5.9179,30.44
0.866,51.398,7.3532,9.5676,8.9828,5.9355,30.628
0.867,51.701,7.3667,9.6207,9.0174,5.9531,30.836
0.868,52.004,7.3803,9.6738,9.052,5.9707,31.044
0.869,52.307,7.3938,9.7269,9.0866,5.9883,31.252
0.87,52.61,7.4073,9.78,9.1212,6.0058,31.46
0.871,52.913,7.4209,9.8331,9.1558,6.0234,31.612
0.872,53.216,7.4344,9.8862,9.1904,6.041,31.751
0.873,53.519,7.4479,9.9393,9.2249,6.0586,31.889
0.874,53.822,7.4615,9.9924,9.2595,6.0762,32.028
0.875,54.125,7.475,10.045,9.2941,6.0938,32.167
0.876,54.428,7.4885,10.099,9.3287,6.1113,32.305
0.877,54.731,7.5062,10.152,9.3633,6.1289,32.444
0.878,55.034,7.5468,10.205,9.3979,6.1465,32.562
0.879,55.337,7.5874,10.258,9.4325,6.1641,32.666
0.88,55.64,7.628,10.311,9.4671,6.1817,32.77
0.881,55.943,7.6686,10.364,9.5035,6.1993,32.874
0.882,56.656,7.7092,10.417,9.577,6.2168,32.978
0.883,57.464,7.7498,10.47,9.6505,6.2344,33.082
0.884,58.272,7.7904,10.551,9.724,6.252,33.186
0.885,59.08,7.831,10.668,9.7975,6.2696,33.29
0.886,59.888,7.8716,10.785,9.871,6.2872,33.394
0.887,60.609,7.9122,10.902,9.9445,6.3048,33.498
0.888,61.316,7.9528,11.018,10.018,6.3223,33.704
0.889,62.023,7.9934,11.135,10.092,6.3399,33.912
0.89,62.73,8.034,11.252,10.165,6.3575,34.12
0.891,63.437,8.0746,11.369,10.239,6.3751,34.328
0.892,63.684,8.1152,11.486,10.312,6.3927,34.572
0.893,63.886,8.1558,11.756,10.386,6.4103,34.988
0.894,64.088,8.1964,12.048,10.459,6.4278,35.404
0.895,64.29,8.237,12.34,10.529,6.4454,35.82
0.896,64.492,8.2776,12.544,10.594,6.463,36.236
0.897,64.888,8.3182,12.641,10.66,6.4806,36.576
0.898,65.292,8.3588,12.739,10.725,6.4982,36.784
0.899,65.696,8.3994,12.836,10.79,6.563,36.992
0.9,66.1,8.44,12.933,10.856,6.6333,37.2
0.901,66.505,8.4806,13.031,10.921,6.7037,37.408
0.902,67.01,8.553,13.128,10.986,6.774,37.577
0.903,67.515,8.6545,13.225,11.052,6.8443,37.716
0.904,68.02,8.756,13.323,11.117,6.9147,37.855
0.905,68.525,8.8575,13.42,11.182,6.985,37.993
0.906,69.03,8.959,13.552,11.248,7.0553,38.132
0.907,69.535,9.0605,13.844,11.313,7.1257,38.271
0.908,70.04,9.162,14.136,11.378,7.196,38.409
0.909,70.545,9.2635,14.428,11.444,7.2663,38.716
0.91,71.05,9.365,14.573,11.513,7.3367,39.34
0.911,71.56,9.4665,14.671,11.611,7.407,39.964
0.912,72.116,9.534,14.768,11.709,7.4773,40.196
0.913,72.672,9.5848,14.865,11.807,7.5358,40.404
0.914,73.227,9.6355,14.963,11.905,7.5885,40.612
0.915,73.782,9.6863,15.06,12.003,7.6412,40.82
0.916,74.338,9.737,15.157,12.101,7.694,41.028
0.917,74.894,9.7878,15.255,12.199,7.7468,41.236
0.918,75.449,9.8385,15.352,12.297,7.7995,41.444
0.919,76.004,9.8893,15.449,12.395,7.8522,41.601
0.92,76.56,9.94,15.57,12.493,7.905,41.74
0.921,77.189,9.9908,15.716,12.61,7.9578,41.879
0.922,78.098,10.042,15.862,12.727,8.0105,42.017
0.923,79.007,10.092,16.008,12.845,8.0633,42.156
0.924,79.916,10.143,16.154,12.962,8.116,42.295
0.925,80.825,10.194,16.3,13.08,8.1688,42.433
0.926,82.02,10.245,16.446,13.198,8.2215,42.716
0.927,84.04,10.295,16.592,13.315,8.2743,43.132
0.928,86.06,10.346,16.738,13.433,8.327,43.512
0.929,88.08,10.397,16.884,13.626,8.3798,43.616
0.93,90.1,10.448,17.03,13.92,8.4325,43.72
0.931,92.027,10.498,17.176,14.214,8.4853,43.824
0.932,93.744,10.696,17.322,14.503,8.5338,43.928
0.933,95.461,10.899,17.468,14.601,8.5807,44.032
0.934,97.178,11.102,17.956,14.699,8.6276,44.136
0.935,98.895,11.305,18.52,14.797,8.6744,44.24
0.936,100.09,11.508,18.812,14.895,8.7213,44.344
0.937,100.34,11.711,19.104,14.993,8.7682,44.448
0.938,100.59,11.914,19.396,15.091,8.8151,44.812
0.939,100.85,12.117,19.641,15.189,8.862,45.436
0.94,101.1,12.32,19.86,15.287,8.9089,46.14
0.941,101.35,12.519,20.079,15.385,8.9558,47.596
0.942,101.6,12.688,20.298,15.483,9.0027,49.052
0.943,101.86,12.857,20.517,15.581,9.0496,49.788
0.944,102.11,13.027,20.736,15.679,9.0964,50.204
0.945,102.36,13.196,20.955,15.777,9.1433,50.62
0.946,102.73,13.365,21.464,15.875,9.1902,51.036
0.947,103.23,13.534,22.048,15.973,9.2371,51.452
0.948,103.74,13.703,22.632,16.071,9.284,51.868
0.949,104.25,13.872,23.216,16.169,9.3309,52.284
0.95,104.75,14.042,23.8,16.267,9.3778,52.7
0.951,105.15,14.211,24.384,16.365,9.4247,53.116
0.952,105.46,14.38,24.968,16.463,9.4716,53.548
0.953,105.76,14.549,26.104,16.621,9.5415,54.172
0.954,106.06,14.718,27.204,16.817,9.647,54.796
0.955,106.37,14.887,28.08,17.013,9.7525,55.98
0.956,107.34,15.136,28.804,17.209,9.858,57.436
0.957,108.85,15.542,29.388,17.405,9.9635,59.06
0.958,110.37,15.948,29.972,17.576,10.069,61.14
0.959,111.89,16.354,30.556,17.723,10.174,63.22
0.96,113.4,16.76,31.14,17.87,10.28,65.12
0.961,115.34,17.083,31.948,18.017,10.385,66.992
0.962,117.56,17.286,33.116,18.164,10.491,68.672
0.963,119.79,17.489,34.676,18.311,10.629,70.128
0.964,122.01,17.692,36.428,18.458,10.769,71.548
0.965,124.23,17.895,37.62,18.605,10.91,72.38
0.966,125.36,18.098,38.644,18.752,11.051,73.212
0.967,125.92,18.301,39.228,18.899,11.191,73.772
0.968,126.47,18.504,39.812,19.276,11.332,74.188
0.969,127.03,18.707,40.396,20.158,11.473,74.682
0.97,127.58,18.91,41.7,20.86,11.84,75.41
0.971,128.14,19.169,43.043,21.448,12.262,76.138
0.972,128.7,19.474,43.432,22.036,12.546,76.866
0.973,129.25,19.778,43.821,22.624,12.651,77.594
0.974,129.81,20.083,44.211,23.212,12.757,79.288
0.975,130.36,20.387,44.6,23.8,12.862,82.2
0.976,131.03,20.628,44.989,24.388,12.968,85.04
0.977,131.74,20.831,45.852,24.976,13.073,86.08
0.978,132.45,21.034,46.728,25.596,13.179,87.12
0.979,133.15,21.237,47.604,26.478,13.284,88.16
0.98,133.86,21.44,48.64,27.18,13.39,89.2
0.981,136.75,21.857,49.808,27.621,13.495,90.72
0.982,140.19,22.365,50.732,28.062,13.904,93.84
0.983,143.62,22.872,51.608,28.504,14.326,96.96
0.984,147.06,23.38,52.484,29.092,14.996,100.77
0.985,150.49,23.887,53.36,29.68,15.84,104.72
0.986,155.82,24.79,54.236,30.268,16.868,108.5
0.987,161.47,25.805,55.316,31.39,18.556,112.03
0.988,167.13,26.82,56.484,32.86,20.244,115.56
0.989,172.78,27.835,60.244,33.798,21.484,118.68
0.99,178.44,28.85,64.2,35.04,22.645,121.8
0.991,215.76,30.124,68.58,37.686,23.805,125.94
0.992,256.57,31.444,71.812,41.22,24.966,130.73
0.993,297.37,32.763,74.148,45.63,26.598,135.47
0.994,338.18,34.083,75.74,54.288,32.084,140.04
0.995,378.98,35.402,79.4,64.2,37.57,144.62
0.996,378.98,35.402,96.92,75.96,46.488,164.15
0.997,378.98,35.402,121.88,95.154,56.616,187.24
0.998,378.98,35.402,156.92,125.44,56.616,187.24
0.999,378.98,35.402,156.92,125.44,56.616,187.24
1,378.98,35.402,156.92,125.44,56.616,187.24
